CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DEPRESSION,DIABETES,OBESITY,TEETHLOST,STROKE
40069,27.5,11.0,37.8,6.7,32.5,3.3,9.5,7.6,24.8,12.0,36.7,23.1,4.0
35033,20.1,8.3,28.7,4.9,26.4,3.6,4.6,5.7,16.0,13.4,33.3,17.7,3.0
26139,24.3,10.1,26.8,6.6,28.9,2.5,6.3,5.0,21.8,8.7,31.9,9.8,2.6
28103,29.3,11.9,48.3,5.9,32.5,4.2,9.3,7.6,20.5,17.1,46.4,27.3,5.7
30079,24.7,10.0,27.4,6.6,26.0,2.8,6.8,6.1,23.5,8.2,31.1,14.8,3.1
55133,22.0,8.6,24.6,6.6,27.5,2.2,3.9,4.2,18.9,6.8,30.0,7.7,2.2
48331,22.8,8.9,34.3,6.1,31.5,3.2,7.4,6.4,20.9,12.7,37.0,18.7,3.6
5133,24.7,9.2,36.4,6.0,33.6,3.4,8.3,7.3,23.9,13.3,39.0,25.2,3.7
55033,24.9,9.6,28.5,6.7,29.0,2.6,5.7,5.5,21.4,8.0,34.7,12.2,2.9
51570,25.3,9.9,32.1,6.5,28.5,2.7,6.9,5.4,20.2,10.4,34.8,13.2,3.1
19005,22.3,8.6,29.5,6.4,26.2,2.6,6.2,5.9,16.3,9.6,35.6,14.9,3.0
5143,22.8,9.5,30.5,6.4,29.3,2.9,7.3,6.6,24.1,10.8,33.9,17.5,3.2
12023,26.0,9.7,35.0,6.6,29.5,3.2,9.7,6.7,22.8,11.9,36.3,20.4,3.9
23023,24.8,10.3,28.6,7.1,27.1,2.4,6.8,5.3,25.0,7.6,30.6,14.1,2.7
48355,20.7,8.3,33.3,5.4,30.3,3.3,5.7,5.6,19.3,14.3,40.9,14.4,3.1
23019,25.5,11.7,31.1,7.1,29.0,2.7,8.2,6.4,24.1,9.5,34.7,18.3,3.1
13111,24.1,9.2,31.7,6.7,29.7,2.8,7.7,6.3,22.7,10.1,29.6,16.4,3.2
1033,30.2,9.7,38.4,6.6,29.9,2.9,8.2,6.5,26.2,11.5,35.9,17.9,3.7
21091,30.4,10.0,36.7,6.9,32.6,2.8,9.5,6.9,26.6,11.1,36.3,21.6,3.5
16069,24.4,10.4,28.8,6.7,26.1,2.7,6.2,5.7,22.3,9.6,32.9,14.7,3.0
12101,23.1,8.4,28.1,6.3,28.3,2.8,7.8,5.9,20.2,10.3,27.6,17.0,3.2
