CountyFIPS,MHLTH,PHLTH,GHLTH
48237,16.1,14.7,24.7
4012,16.8,16.3,26.3
39081,19.0,15.1,21.6
21149,18.0,15.7,22.7
31165,12.3,10.4,14.7
47137,20.7,18.3,27.2
48197,16.1,14.7,25.2
49027,15.1,13.3,18.8
48275,15.6,15.0,26.6
33009,14.0,11.1,14.1
51179,12.2,9.8,15.1
18035,17.3,15.1,22.1
36081,12.1,11.9,20.9
46043,11.9,9.7,14.0
39037,18.0,14.1,20.1
48501,14.4,14.7,29.1
38021,11.2,9.7,14.1
30077,14.8,12.9,16.9
21109,20.9,19.4,28.8
31153,10.8,8.6,12.5
19019,13.2,10.2,14.0
54091,20.4,16.9,24.0
21129,22.8,22.8,35.0
22101,19.2,16.0,25.9
26087,16.8,13.3,18.1
47027,21.4,19.3,28.2
48301,15.0,12.3,20.4
48133,16.4,14.8,24.0
12031,16.5,14.2,20.9
48365,16.6,14.4,23.1
42041,13.8,11.2,15.9
46097,11.9,9.8,14.3
27147,12.8,10.5,14.8
37021,14.0,11.4,16.6
31139,12.0,9.6,13.0
20045,14.5,10.3,15.2
20139,15.5,11.9,18.1
25013,15.2,12.9,19.8
20013,15.6,12.3,18.5
18099,16.4,14.3,21.7
21197,19.1,17.5,25.7
48157,10.9,9.7,16.4
47001,18.2,15.4,22.1
48421,14.1,13.3,24.2
19073,13.6,10.8,15.0
27059,13.1,10.3,14.3
48075,14.7,14.3,25.5
49057,14.4,12.2,17.9
42011,14.7,13.1,20.2
21057,19.8,17.8,26.2
18163,16.5,13.8,20.9
21099,19.9,18.6,28.1
20129,14.6,12.3,20.8
48037,15.8,13.8,22.2
29073,16.2,13.4,19.0
48147,15.6,13.4,21.7
27083,13.4,11.3,15.9
29197,17.9,15.3,21.9
42067,17.2,14.4,21.2
26049,18.7,15.1,20.2
8115,15.2,13.3,18.7
8031,11.8,10.3,15.7
22021,20.4,17.0,26.7
19147,12.7,9.8,13.5
12061,15.2,13.5,19.4
29175,17.6,15.1,21.9
22123,20.1,16.5,26.0
1057,19.9,16.9,24.9
31045,12.2,10.1,13.9
40005,18.6,17.0,25.9
1077,17.7,14.4,20.6
25001,13.2,10.1,12.6
17007,13.7,11.8,18.4
40033,17.5,15.3,23.6
5099,18.8,16.5,25.2
54061,18.2,15.0,21.2
29039,18.5,16.2,23.3
32009,16.0,15.5,23.3
19063,13.5,11.1,16.0
16021,16.0,14.7,19.0
31025,11.9,9.9,14.0
13011,19.2,16.4,24.2
29009,17.5,16.0,24.2
8105,13.4,12.7,20.3
2050,20.9,21.4,34.1
53033,11.6,9.4,12.7
13077,15.6,12.5,17.7
55045,13.7,10.6,13.7
6013,11.8,10.3,15.9
13043,20.5,18.9,29.5
17197,12.2,10.5,15.8
17071,15.2,12.0,16.6
51700,14.8,12.8,20.5
48167,13.9,11.7,19.9
13087,19.1,16.7,25.4
56031,13.6,11.6,17.0
35055,14.1,13.3,21.0
8061,15.2,12.6,16.4
18183,15.5,12.7,18.1
1043,18.8,15.5,22.1
30043,13.9,10.8,13.0
40039,16.4,14.6,23.1
27113,13.4,11.0,14.9
5053,18.1,14.8,20.8
38085,18.7,20.8,33.1
5109,19.1,16.7,24.3
53067,13.6,11.2,14.9
19053,14.5,12.1,17.1
40003,14.7,12.6,19.6
51147,15.9,13.7,21.5
46105,12.3,10.2,14.5
18065,17.0,14.5,21.1
48011,14.8,11.9,17.9
46071,17.7,18.0,28.2
1067,18.6,15.5,23.4
26015,16.2,12.5,16.2
38051,12.9,11.8,17.9
36111,14.1,11.8,17.3
29155,20.2,19.0,29.3
53011,13.5,11.7,15.7
2261,12.8,10.7,15.6
28045,17.2,13.4,21.2
20057,14.1,13.5,26.2
13163,20.2,18.1,29.0
47035,19.1,16.4,23.4
47073,20.3,17.4,25.1
37097,14.1,11.7,18.1
6087,12.6,11.6,17.6
19117,14.2,11.3,16.0
48471,15.3,14.2,24.0
16031,14.8,15.0,21.5
13197,18.9,16.6,25.7
51109,16.1,13.3,20.0
21079,18.2,15.8,23.3
8015,12.8,10.7,14.2
36019,15.5,12.9,18.2
30009,14.0,11.1,13.7
6023,15.3,13.5,18.6
12085,14.6,12.7,17.7
27103,12.3,9.8,13.5
48211,13.7,12.1,20.8
1131,21.3,19.9,33.2
48295,14.2,13.1,23.1
37061,16.7,16.2,27.9
17061,16.2,13.2,18.6
47011,18.3,15.8,23.7
47099,19.9,16.9,25.2
37157,16.8,14.3,22.6
55085,13.7,10.8,13.7
48085,11.2,9.2,14.2
19181,12.1,9.2,12.1
19127,12.7,11.1,18.7
48281,14.6,12.5,20.2
29145,16.7,14.3,20.8
45033,19.2,18.6,29.7
51013,9.8,7.8,11.2
13099,20.5,18.4,28.5
51001,16.5,14.9,24.1
56037,12.9,11.0,16.3
55037,14.4,11.4,14.9
4003,15.1,14.0,21.9
12019,16.4,13.9,19.2
23003,17.4,14.9,21.0
51107,10.2,8.2,12.2
37123,15.8,14.1,23.3
36121,15.0,12.4,17.7
26131,18.3,14.5,18.9
17141,14.5,11.9,17.2
31067,13.2,10.9,16.0
28113,19.3,17.0,29.3
39051,16.6,13.1,19.1
35045,18.5,16.4,23.4
30053,16.6,14.5,18.0
16065,16.7,15.7,19.3
40139,15.0,15.0,27.2
48173,14.7,14.4,26.1
13275,18.0,15.1,22.4
19083,13.1,10.5,14.9
20003,16.5,12.8,19.1
40097,18.6,16.3,24.8
22093,18.1,14.7,23.9
13151,15.5,12.5,18.3
36017,16.2,13.4,18.6
40101,17.9,16.3,25.2
13217,17.2,14.4,22.0
24037,13.8,10.7,15.1
31005,13.5,11.6,16.3
