density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
1079.3,128658,6.2,16.8,18.8,29.7,38.2,6-6.5
14.5,2828,6.1,12.7,28.1,43.3,46.6,6-6.5
2074.8,293733,5.6,12.8,19.8,38.2,44.5,5.5-6
8.3,6631,6.4,14.0,30.3,43.2,42.8,6-6.5
2242.5,761438,6.1,17.4,14.0,24.5,36.1,6-6.5
75.5,43422,6.2,15.6,24.6,37.5,39.9,6-6.5
84.2,45819,6.1,15.6,23.3,39.4,39.8,6-6.5
543.8,157742,6.3,17.4,15.9,24.8,37.8,6-6.5
76.2,17306,6.4,15.5,24.2,35.6,39.5,6-6.5
338.8,149354,6.5,17.6,17.5,28.6,36.0,6.5-7
38.3,12449,6.4,16.7,24.0,36.4,39.8,6-6.5
82.0,22355,6.2,13.8,25.7,39.4,43.6,6-6.5
92.8,16147,6.7,18.5,22.9,31.6,36.3,6.5-7
125.3,26411,6.7,18.7,18.2,26.3,35.7,6.5-7
44.2,26412,6.2,15.2,22.3,36.9,41.5,6-6.5
2837.4,759228,5.9,16.9,14.7,26.6,38.7,5.5-6
41.5,20571,6.4,16.7,24.8,35.7,42.0,6-6.5
34.1,13370,6.0,15.6,24.2,38.4,43.7,6-6.5
269.8,88673,6.0,14.2,23.3,37.2,44.0,6-6.5
735.1,147078,6.1,15.6,18.5,30.6,40.0,6-6.5
19.9,10176,6.2,14.2,25.8,38.8,43.6,6-6.5
9.7,4014,6.2,16.0,22.0,38.2,38.8,6-6.5
136.0,64955,6.6,18.6,19.9,28.0,38.2,6.5-7
54.8,19251,6.4,15.8,24.5,37.4,40.4,6-6.5
33.4,22756,6.3,15.7,24.8,35.7,42.7,6-6.5
58.4,10671,6.2,14.6,24.6,40.2,41.1,6-6.5
68.3,26404,6.7,18.0,21.1,31.2,35.6,6.5-7
591.7,114984,6.2,17.5,13.8,23.0,37.1,6-6.5
193.6,98711,6.5,16.1,22.0,32.4,39.4,6.5-7
1100.8,246592,6.3,18.7,12.6,22.4,33.9,6-6.5
89.7,23468,6.6,16.7,22.9,33.2,39.7,6.5-7
2026.3,1067116,6.0,16.2,13.9,23.8,35.6,6-6.5
74.1,31594,6.5,17.1,21.2,30.0,35.7,6.5-7
20.7,2979,6.6,17.1,24.7,33.7,38.7,6.5-7
204.1,85660,6.5,16.2,20.0,31.8,37.5,6.5-7
163.5,58167,6.4,16.2,21.9,34.9,38.5,6-6.5
54.2,24623,6.3,15.3,22.5,35.7,41.0,6-6.5
47.7,18499,6.3,16.2,20.7,33.2,39.8,6-6.5
2181.8,938995,5.7,16.5,14.9,29.4,39.0,5.5-6
164.1,45414,6.4,17.4,20.5,34.0,37.7,6-6.5
523.3,205525,6.1,16.3,18.0,31.9,35.0,6-6.5
18.0,8475,5.8,14.4,27.2,42.1,45.9,5.5-6
106.2,29955,6.7,17.5,23.0,32.7,38.5,6.5-7
76.5,35486,6.5,19.2,17.3,25.5,37.2,6.5-7
113.4,26360,6.5,17.0,23.7,33.4,39.9,6.5-7
40.5,11988,6.6,17.5,24.2,33.4,38.6,6.5-7
734.3,236549,6.0,15.1,16.7,29.4,44.2,6-6.5
422.7,158726,6.2,16.0,17.9,31.0,40.4,6-6.5
26.8,9500,6.4,16.3,24.9,36.3,42.2,6-6.5
217.5,73881,6.4,18.3,20.3,28.7,36.6,6-6.5
38.8,14302,6.5,16.9,23.3,33.3,39.7,6.5-7
45.7,15125,6.4,15.3,26.8,39.2,40.0,6-6.5
29.2,15385,6.1,14.4,25.7,40.2,44.4,6-6.5
24.9,8646,6.2,14.6,27.6,42.5,42.9,6-6.5
31.8,9643,6.2,16.7,27.0,38.5,42.2,6-6.5
73.2,28837,6.4,16.9,21.3,31.6,39.1,6-6.5
104.6,19190,6.4,16.4,22.0,32.1,39.9,6-6.5
56.3,10437,6.4,16.3,23.6,35.9,39.9,6-6.5
59.1,47683,6.2,14.1,23.9,37.2,40.8,6-6.5
84.6,30110,6.4,18.1,18.7,28.1,37.0,6-6.5
125.5,61455,6.0,15.9,21.6,34.6,43.3,6-6.5
37.8,7950,6.4,16.2,23.2,34.5,41.3,6-6.5
49.1,19662,6.2,16.8,22.0,34.7,42.0,6-6.5
237.3,117727,6.3,16.3,20.3,32.7,40.2,6-6.5
120.1,33986,6.7,17.6,20.8,30.5,36.1,6.5-7
82.8,21323,6.3,15.2,24.7,36.1,41.6,6-6.5
34.1,14450,6.4,16.2,21.9,33.4,41.6,6-6.5
32.2,12909,5.9,14.7,26.0,41.5,45.8,5.5-6
106.4,30038,6.5,17.3,21.8,32.4,39.0,6.5-7
22.9,8365,6.2,16.0,23.4,35.7,40.9,6-6.5
42.3,21224,6.3,15.7,25.0,37.5,43.1,6-6.5
20.2,5715,6.4,16.1,23.7,34.9,40.9,6-6.5
42.6,21822,6.1,14.8,25.4,40.5,43.3,6-6.5
70.1,27741,6.4,16.9,20.4,29.1,39.8,6-6.5
38.5,9220,6.4,16.5,23.2,34.5,40.2,6-6.5
56.0,19443,6.5,18.2,19.6,29.0,38.0,6.5-7
116.7,40213,6.5,16.3,23.3,35.1,38.3,6.5-7
906.1,196062,6.0,15.2,20.7,33.3,44.3,6-6.5
413.2,112454,6.2,16.4,20.5,34.0,41.9,6-6.5
220.3,40604,6.7,18.5,13.6,21.8,32.7,6.5-7
35.0,15350,6.4,16.8,22.5,33.8,39.1,6-6.5
545.2,170215,6.5,17.5,18.4,29.4,38.8,6.5-7
184.2,27676,6.2,15.7,21.5,35.2,42.5,6-6.5
141.5,32843,6.7,18.7,20.0,27.8,35.9,6.5-7
61.8,19569,6.7,16.6,24.1,34.5,38.1,6.5-7
88.5,19118,6.6,18.7,20.6,28.3,36.9,6.5-7
137.7,42733,6.4,16.7,23.4,35.6,38.4,6-6.5
44.8,11161,6.4,15.2,22.7,34.1,41.0,6-6.5
64.5,22216,6.4,16.2,20.8,32.6,40.2,6-6.5
15.3,2307,6.3,14.4,26.6,40.2,43.5,6-6.5
46.7,17280,6.6,17.0,21.5,32.5,36.6,6.5-7
15.8,6779,6.0,13.2,28.0,42.5,45.7,6-6.5
626.1,203065,6.2,16.4,21.5,36.2,43.3,6-6.5
703.1,91261,6.0,14.8,18.3,31.3,42.7,6-6.5
31.5,5259,6.4,16.6,21.8,32.8,39.8,6-6.5
21.7,13982,6.3,15.9,24.8,36.1,41.7,6-6.5
34.3,8080,6.4,15.6,23.4,34.8,41.6,6-6.5
341.2,67028,6.3,15.7,22.3,35.7,41.9,6-6.5
145.1,25999,6.6,17.6,21.5,31.0,37.7,6.5-7
14.3,6545,5.7,15.5,24.4,43.3,44.0,5.5-6
61.0,29468,6.1,14.6,23.3,37.9,42.7,6-6.5
15.9,6214,6.0,14.6,24.9,38.0,43.7,6-6.5
7.9,1530,6.0,14.9,25.7,39.8,44.9,6-6.5
52.6,25210,6.2,16.2,24.7,37.8,40.8,6-6.5
21.3,8026,6.3,14.9,27.1,39.0,42.2,6-6.5
36.1,15797,5.9,15.9,25.1,42.1,43.1,5.5-6
25.4,8523,6.1,14.2,26.0,40.2,43.6,6-6.5
81.7,44518,6.4,15.4,21.4,33.9,40.8,6-6.5
157.4,40742,6.2,15.3,22.8,35.9,41.4,6-6.5
73.8,26865,6.3,15.5,23.2,36.9,38.1,6-6.5
73.0,12156,6.7,18.0,19.9,28.4,36.6,6.5-7
34.8,6939,6.3,15.8,26.6,38.9,41.0,6-6.5
168.7,69842,6.3,16.5,22.7,35.5,39.5,6-6.5
28.1,8011,6.3,15.1,25.4,38.4,41.7,6-6.5
22.7,8131,6.2,15.8,24.9,37.5,43.5,6-6.5
77.2,24838,6.7,18.1,20.5,30.2,35.9,6.5-7
81.7,26417,6.5,16.1,24.4,35.6,41.6,6.5-7
156.8,69992,6.7,17.3,23.4,33.3,39.9,6.5-7
292.9,95403,6.4,17.1,20.6,31.4,36.8,6-6.5
40.2,35858,6.4,15.2,24.8,37.5,40.3,6-6.5
18.5,5263,6.1,14.2,26.0,39.7,44.4,6-6.5
30.1,20428,6.1,15.7,24.6,37.7,44.0,6-6.5
46.8,30017,6.5,16.7,24.2,35.8,40.2,6.5-7
12.5,2611,6.1,15.7,22.8,35.4,42.1,6-6.5
26.5,7840,6.1,16.5,26.0,39.8,42.8,6-6.5
129.2,31092,6.7,18.9,20.0,27.6,35.1,6.5-7
360.4,104680,6.1,14.8,20.6,34.7,37.0,6-6.5
22.7,8587,6.2,16.8,25.1,38.2,41.9,6-6.5
20.9,9807,6.2,15.0,24.0,37.5,42.3,6-6.5
20.1,8982,6.3,15.5,24.4,37.1,42.2,6-6.5
35.5,20259,6.5,16.1,23.6,35.6,39.5,6.5-7
50.1,201959,5.4,20.9,17.6,24.9,41.6,5-5.5
1618.0,971975,5.2,18.8,13.6,25.1,47.1,5-5.5
7.3,87,5.9,16.1,14.9,19.8,33.2,5.5-6
116.9,72456,5.4,21.1,14.7,25.1,38.1,5-5.5
144.3,167641,5.5,21.4,15.5,24.2,39.5,5.5-6
462.8,487154,6.4,19.7,13.2,21.1,33.4,6-6.5
3.2,4337,6.5,17.4,18.3,24.4,35.2,6.5-7
79.3,88233,6.4,17.2,17.6,26.8,34.2,6-6.5
6.3,6148,6.5,16.5,17.5,25.3,34.7,6.5-7
12.0,9339,6.6,17.3,21.0,26.4,36.2,6.5-7
22.4,46990,6.2,16.4,16.2,26.1,35.4,6-6.5
8.7,23021,6.2,17.1,13.6,23.2,31.3,6-6.5
4.2,7908,6.5,17.5,15.8,21.9,33.5,6.5-7
26.6,46173,6.6,18.8,18.5,24.8,31.4,6.5-7
64.2,119890,6.2,15.1,15.7,24.5,35.2,6-6.5
9.7,12296,6.5,17.1,19.9,26.0,33.8,6.5-7
1.2,2606,6.5,16.2,18.8,27.1,34.8,6.5-7
1.0,1113,6.4,16.7,19.0,27.5,35.7,6-6.5
395.0,232022,6.3,16.5,17.7,29.9,35.1,6-6.5
4.1,7191,6.6,17.7,18.6,25.0,34.1,6.5-7
9.4,24062,6.0,15.2,16.0,30.3,34.6,6-6.5
0.5,839,5.7,14.5,18.5,34.6,35.8,5.5-6
3.6,8781,6.5,18.3,19.5,24.4,36.2,6.5-7
0.9,4360,6.6,16.6,18.4,26.6,33.7,6.5-7
9.0,27562,6.2,16.7,18.4,28.8,36.2,6-6.5
21.0,13961,6.5,16.3,16.3,26.4,36.0,6.5-7
7.0,13090,6.3,16.8,17.3,26.6,35.0,6-6.5
32.6,18279,6.4,17.5,18.2,28.3,35.1,6-6.5
20.9,15206,6.0,16.4,17.4,29.7,33.7,6-6.5
2.0,16739,6.4,19.6,19.5,28.9,34.1,6-6.5
27.5,30082,6.4,16.2,15.2,23.5,33.5,6-6.5
40.9,24424,6.0,15.9,17.7,32.0,33.9,6-6.5
134.6,167496,6.5,17.8,17.4,22.9,34.9,6.5-7
37.4,40220,6.5,18.6,15.1,21.0,32.4,6.5-7
1.8,8086,6.5,18.2,18.4,23.7,36.1,6.5-7
8.0,3845,6.5,17.5,20.5,29.2,36.0,6.5-7
4.4,5343,6.0,15.3,18.3,31.7,35.1,6-6.5
84.6,39703,6.5,12.5,16.3,25.5,34.6,6.5-7
27.9,21102,5.8,14.8,16.9,32.1,35.7,5.5-6
47.8,40563,6.7,16.9,17.5,25.1,33.9,6.5-7
3.8,4572,6.5,16.7,17.4,27.3,33.4,6.5-7
1.5,11868,6.1,15.7,18.7,31.9,35.8,6-6.5
59.3,24110,6.3,17.0,17.5,28.5,33.2,6-6.5
5.5,7700,6.1,15.5,16.9,30.3,34.1,6-6.5
4.9,12957,6.5,16.2,22.6,31.5,36.0,6.5-7
27.2,12218,6.3,18.4,13.3,19.7,31.0,6-6.5
45.4,87142,6.3,15.2,16.6,28.7,34.9,6-6.5
3.1,11527,6.6,18.1,15.0,20.4,32.7,6.5-7
7.1,10252,6.2,16.8,18.3,30.8,35.4,6-6.5
76.6,65494,6.7,21.3,19.2,25.5,33.6,6.5-7
24.2,5704,6.3,19.0,23.5,33.9,40.0,6-6.5
43.3,16461,6.6,21.6,19.5,27.5,35.1,6.5-7
191.0,53626,6.3,20.9,16.8,27.9,33.7,6-6.5
21.6,6594,6.4,22.3,20.8,29.7,37.2,6-6.5
37.6,32633,6.5,21.5,18.3,28.2,33.4,6.5-7
18.6,4727,6.7,22.7,20.5,27.2,34.7,6.5-7
32.2,14311,6.6,22.5,19.1,26.7,34.0,6.5-7
32.1,12062,6.3,19.9,20.1,31.7,35.9,6-6.5
209.9,209084,6.3,19.3,16.0,25.3,34.6,6-6.5
45.5,32292,6.7,22.6,20.8,29.0,36.1,6.5-7
30.7,15410,6.7,22.0,20.2,27.1,34.5,6.5-7
28.2,13201,6.7,21.1,21.9,28.7,35.3,6.5-7
79.3,37592,6.6,23.2,18.7,25.2,34.8,6.5-7
99.7,50655,6.7,20.8,20.6,27.2,34.2,6.5-7
5439.1,5141687,5.7,22.0,14.6,25.7,36.1,5.5-6
42.1,18657,6.7,22.5,20.4,27.6,34.4,6.5-7
31.2,10781,6.7,21.9,21.1,27.7,34.8,6.5-7
166.4,105059,6.4,21.8,17.1,27.2,34.2,6-6.5
39.3,15623,6.7,22.1,19.8,27.6,34.4,6.5-7
46.7,19465,6.6,21.3,20.7,29.8,34.5,6.5-7
2813.7,921485,6.2,18.1,11.2,22.7,30.6,6-6.5
27.5,17161,6.7,22.5,20.0,26.6,34.8,6.5-7
28.7,6390,6.7,22.3,20.2,26.6,34.5,6.5-7
71.1,34043,6.7,23.0,19.0,25.8,34.1,6.5-7
29.8,21360,6.6,21.1,23.1,30.9,35.9,6.5-7
26.7,12962,6.7,22.0,19.9,27.5,35.5,6.5-7
94.1,38474,6.7,21.0,22.6,29.5,36.2,6.5-7
39.6,34314,6.6,21.8,20.4,28.4,36.1,6.5-7
14.9,4819,6.7,20.7,23.7,31.3,36.2,6.5-7
23.9,12965,6.7,22.6,21.8,28.3,35.4,6.5-7
122.5,51218,6.5,22.6,16.9,25.6,33.0,6.5-7
18.7,8122,6.7,22.3,20.3,27.6,33.7,6.5-7
22.3,17709,6.7,22.3,19.7,27.1,35.4,6.5-7
21.6,3836,6.7,21.4,22.9,30.1,36.0,6.5-7
17.5,6643,6.7,23.0,19.4,26.4,34.4,6.5-7
59.5,48932,6.6,22.2,18.4,26.9,34.1,6.5-7
24.3,27127,6.6,20.7,20.4,29.5,35.1,6.5-7
96.9,56609,6.5,20.0,19.9,29.3,37.0,6.5-7
19.5,9619,6.7,21.8,20.7,27.5,35.1,6.5-7
66.0,37706,6.6,21.0,20.9,29.0,35.7,6.5-7
59.1,21812,6.7,22.4,19.2,26.0,34.1,6.5-7
35.3,21246,6.6,22.1,18.2,25.0,33.3,6.5-7
36.4,12518,6.6,22.0,21.1,28.8,35.8,6.5-7
1025.1,533112,5.9,21.3,14.9,27.4,32.1,5.5-6
162.2,109762,6.5,20.8,18.6,28.3,36.6,6.5-7
404.3,129522,6.2,21.2,13.3,23.3,32.8,6-6.5
69.2,49610,6.6,20.8,20.8,28.6,37.2,6.5-7
1568.7,695969,6.0,20.6,12.8,21.8,32.3,6-6.5
95.9,108823,6.4,22.3,19.2,28.6,35.9,6-6.5
42.1,15666,6.5,21.5,21.7,30.3,36.8,6.5-7
47.0,34037,6.5,21.6,19.2,27.4,34.9,6.5-7
34.2,35684,6.6,21.7,20.9,29.8,35.6,6.5-7
46.4,28651,6.6,21.6,19.2,26.8,35.3,6.5-7
50.2,29617,6.7,20.6,19.5,27.8,35.7,6.5-7
511.1,308253,6.3,20.5,15.0,24.6,33.6,6-6.5
144.7,171285,6.5,20.7,15.9,24.3,33.3,6.5-7
179.1,103995,6.5,20.0,20.5,29.2,36.2,6.5-7
52.1,44932,6.7,22.1,20.4,27.0,33.3,6.5-7
367.9,263254,6.6,22.2,18.8,25.9,35.5,6.5-7
65.1,37255,6.7,20.7,21.8,29.3,36.7,6.5-7
29.6,11448,6.6,22.4,19.4,26.2,35.3,6.5-7
24.8,13352,6.7,21.5,21.7,28.9,35.6,6.5-7
58.0,13759,6.7,21.3,21.8,29.8,36.4,6.5-7
38.8,12202,6.7,22.4,18.0,24.5,33.9,6.5-7
27.6,15472,6.6,22.6,19.4,26.4,34.2,6.5-7
90.3,34748,6.7,24.1,15.3,21.2,32.2,6.5-7
40.3,28385,6.6,21.7,21.3,29.2,35.6,6.5-7
59.0,33554,6.6,21.4,20.7,28.2,35.5,6.5-7
43.3,14551,6.7,22.3,20.4,26.9,34.9,6.5-7
66.9,50723,6.5,22.1,18.1,26.2,35.6,6.5-7
288.5,178639,6.5,19.4,17.7,26.8,35.1,6.5-7
47.3,20914,6.6,21.7,22.1,30.4,37.1,6.5-7
37.3,16363,6.7,23.2,17.1,23.7,32.5,6.5-7
18.7,15582,6.7,21.3,21.7,29.1,35.1,6.5-7
11.4,4209,6.7,21.5,21.8,29.1,35.6,6.5-7
26.7,5323,6.3,18.6,23.7,34.3,39.5,6-6.5
35.9,5752,6.6,22.8,18.2,25.3,34.1,6.5-7
55.2,31763,6.5,21.9,21.7,30.1,36.9,6.5-7
43.2,15537,6.7,21.5,20.7,27.8,34.9,6.5-7
331.8,141879,6.3,20.3,18.7,27.0,35.5,6-6.5
394.2,259303,6.3,20.9,18.4,30.0,38.3,6-6.5
61.9,23520,6.7,20.6,22.4,30.4,36.1,6.5-7
223.9,194375,6.6,22.3,17.5,26.1,35.2,6.5-7
15.5,6777,6.6,21.8,20.7,28.1,35.2,6.5-7
19.7,4953,6.7,21.7,20.7,27.6,35.4,6.5-7
28.5,21646,6.7,22.3,20.8,27.8,34.9,6.5-7
18.6,5346,6.6,21.5,21.0,28.7,35.4,6.5-7
78.8,44482,6.5,21.4,19.4,28.4,35.5,6.5-7
203.1,131789,6.7,21.9,18.0,24.2,33.3,6.5-7
40.3,16660,6.6,20.8,20.9,29.5,35.1,6.5-7
84.2,75598,6.4,20.1,21.7,31.1,36.4,6-6.5
51.6,11511,6.7,21.9,19.5,27.0,34.6,6.5-7
31.0,16819,6.5,21.0,18.7,28.0,35.0,6.5-7
24.7,13882,6.7,23.1,18.3,24.6,34.2,6.5-7
22.7,16222,6.7,21.5,21.5,28.6,34.7,6.5-7
27.4,13544,6.7,21.3,21.5,28.3,35.4,6.5-7
80.6,55173,6.4,22.2,18.6,27.0,34.0,6-6.5
826.7,691843,5.9,20.1,14.2,26.2,36.5,5.5-6
158.7,66668,6.7,21.2,19.4,28.1,35.0,6.5-7
550.2,282447,6.3,20.5,18.3,30.6,34.7,6-6.5
72.9,38482,6.7,22.9,16.3,22.8,32.1,6.5-7
105.7,35820,6.7,17.7,24.2,35.9,36.4,6.5-7
578.6,380342,6.3,17.1,19.5,28.8,35.9,6-6.5
205.9,83784,6.5,16.2,19.2,28.9,35.4,6.5-7
21.5,8758,6.6,16.4,22.6,32.5,38.4,6.5-7
71.2,11746,6.7,16.7,24.8,34.3,37.7,6.5-7
161.4,68257,6.6,19.0,15.7,24.5,33.2,6.5-7
48.6,15150,6.8,18.1,19.9,28.5,35.7,6.5-7
54.5,20278,6.7,17.0,21.3,31.4,35.3,6.5-7
91.5,37701,6.5,16.0,22.6,35.5,37.2,6.5-7
318.7,118841,6.6,15.6,20.8,33.6,37.7,6.5-7
73.4,26255,6.7,17.3,23.1,32.9,37.1,6.5-7
80.1,32464,6.4,16.1,21.1,34.1,37.3,6-6.5
34.6,10589,6.7,16.8,26.9,36.3,38.9,6.5-7
77.6,33346,6.6,16.3,24.7,35.7,38.0,6.5-7
162.5,49577,6.7,17.6,21.8,28.6,34.4,6.5-7
71.4,26603,6.7,17.1,21.9,30.1,36.7,6.5-7
120.2,43616,6.7,17.8,21.8,31.0,36.1,6.5-7
291.5,114291,6.7,17.8,22.5,31.6,38.3,6.5-7
100.0,42729,6.6,17.4,19.5,29.3,36.1,6.5-7
446.0,206556,6.4,14.1,19.8,32.0,37.8,6-6.5
107.5,23123,6.7,16.5,26.1,35.9,39.2,6.5-7
532.8,78823,6.8,17.4,19.2,28.4,37.2,6.5-7
41.3,16351,6.8,17.0,22.5,32.7,36.9,6.5-7
59.2,22764,6.7,18.2,22.3,29.9,37.3,6.5-7
54.3,20009,6.7,17.3,21.7,31.1,36.6,6.5-7
69.0,33649,6.7,18.2,21.6,30.7,37.5,6.5-7
158.9,65786,6.6,16.1,23.2,33.2,37.9,6.5-7
58.8,31924,6.7,17.4,23.1,33.4,37.4,6.5-7
863.4,340425,6.6,17.2,12.5,20.8,33.1,6.5-7
257.1,78664,6.7,17.6,17.8,27.4,34.0,6.5-7
84.1,40728,6.8,17.9,22.4,30.3,40.0,6.5-7
421.4,171484,6.6,17.9,16.5,25.5,34.8,6.5-7
122.8,48132,6.8,17.7,23.9,32.7,38.4,6.5-7
282.4,82746,6.6,16.3,21.9,33.5,38.2,6.5-7
95.6,36589,6.8,17.2,21.6,31.3,37.6,6.5-7
86.9,44263,6.6,16.5,22.7,35.1,37.0,6.5-7
60.1,33615,6.6,17.9,21.3,30.9,36.5,6.5-7
53.2,20424,6.7,16.6,24.8,34.4,37.4,6.5-7
89.9,32430,6.7,17.9,22.5,32.8,38.5,6.5-7
73.8,27777,6.7,17.0,23.4,33.1,38.8,6.5-7
496.3,159025,6.7,17.9,18.7,28.2,36.1,6.5-7
71.2,36718,6.7,16.3,22.7,33.0,38.3,6.5-7
149.7,79574,6.5,16.4,19.6,30.2,36.0,6.5-7
104.3,39598,6.7,16.4,25.2,36.4,36.9,6.5-7
974.6,486289,5.9,17.5,20.6,33.7,40.1,5.5-6
184.0,110084,6.4,17.2,24.8,33.6,39.0,6-6.5
101.2,45472,6.8,16.8,23.1,33.1,37.5,6.5-7
287.5,129911,6.6,17.0,24.4,34.5,40.3,6.5-7
2431.7,963666,6.0,17.0,18.7,33.9,38.5,6-6.5
104.2,46235,6.5,16.9,21.9,34.2,37.6,6.5-7
30.6,10273,6.7,18.7,23.3,32.2,36.8,6.5-7
94.9,35487,6.6,17.3,23.8,32.9,38.0,6.5-7
376.2,148408,6.5,16.8,18.7,26.6,35.3,6.5-7
76.1,38394,6.7,17.8,22.5,34.2,36.0,6.5-7
174.9,70648,6.7,17.2,21.1,31.8,39.1,6.5-7
34.9,14008,6.6,17.7,22.6,31.9,38.0,6.5-7
116.5,47851,6.5,17.1,21.6,33.0,37.1,6.5-7
68.1,5869,6.7,17.8,22.2,30.3,36.2,6.5-7
49.4,19663,6.7,17.0,25.3,35.7,38.0,6.5-7
54.1,20846,6.7,16.1,24.4,34.6,37.2,6.5-7
38.1,16948,6.7,16.6,24.1,34.9,37.7,6.5-7
50.5,19281,6.6,17.9,23.1,31.9,37.5,6.5-7
37.2,12430,6.7,17.2,23.0,32.7,37.2,6.5-7
409.0,171029,6.5,18.5,18.0,29.6,34.5,6.5-7
62.1,25449,6.8,18.1,20.5,28.8,37.2,6.5-7
28.4,12335,6.6,17.1,23.5,33.3,37.3,6.5-7
78.7,37798,6.6,17.7,21.9,31.8,38.2,6.5-7
54.5,24657,6.7,17.3,23.6,34.7,37.6,6.5-7
63.6,28378,6.7,17.1,22.3,33.0,35.8,6.5-7
40.7,16614,6.7,17.1,24.0,34.4,38.1,6.5-7
594.1,271994,6.4,16.9,19.8,30.0,36.3,6-6.5
125.9,23964,6.7,16.7,25.8,35.1,39.4,6.5-7
109.1,44860,6.6,16.3,22.3,31.8,36.9,6.5-7
51.1,20274,6.7,17.7,22.2,30.8,39.0,6.5-7
74.5,23028,6.6,16.6,24.1,35.2,38.4,6.5-7
112.3,34693,6.7,17.9,22.0,31.2,38.0,6.5-7
46.3,20707,6.7,17.4,24.6,33.7,39.9,6.5-7
48.8,10775,6.7,16.3,26.1,36.2,39.4,6.5-7
391.0,195403,6.4,16.3,17.7,30.0,38.6,6-6.5
58.2,15174,6.7,17.7,20.5,29.9,36.5,6.5-7
43.8,7057,6.7,17.2,22.9,31.5,37.1,6.5-7
778.3,181713,6.7,18.5,21.9,33.3,36.7,6.5-7
60.4,15510,6.7,17.3,23.7,32.9,37.6,6.5-7
265.4,107030,6.7,18.0,23.0,32.7,37.0,6.5-7
75.3,31045,6.7,17.4,23.5,32.8,36.5,6.5-7
22.7,8278,6.7,17.5,20.9,30.2,36.0,6.5-7
164.3,63226,6.7,17.3,18.0,25.8,35.5,6.5-7
54.7,28117,6.7,17.6,24.0,33.1,37.9,6.5-7
164.1,65916,6.6,15.8,24.8,32.7,38.6,6.5-7
77.1,28395,6.7,17.2,21.0,30.0,36.2,6.5-7
47.7,24105,6.6,17.0,21.4,32.9,36.0,6.5-7
101.4,34042,6.7,17.5,20.8,29.1,33.9,6.5-7
12.6,7170,6.6,22.3,19.5,27.8,32.7,6.5-7
8.5,3604,6.6,23.1,20.0,28.0,31.9,6.5-7
21.4,13678,6.4,22.4,18.3,30.3,33.6,6-6.5
25.0,12450,6.6,21.3,21.2,32.0,32.7,6.5-7
12.4,5506,6.6,23.0,19.5,28.7,33.6,6.5-7
35.9,25689,6.5,23.1,17.9,25.7,31.5,6.5-7
232.1,131305,6.4,22.3,19.4,29.4,35.3,6-6.5
46.0,26284,6.6,23.6,19.0,26.5,32.2,6.5-7
57.7,25119,6.6,24.6,16.2,24.6,31.5,6.5-7
37.1,21204,6.6,23.1,18.2,27.2,32.3,6.5-7
34.0,19526,6.0,19.6,16.8,33.1,33.3,6-6.5
24.9,14455,6.6,23.1,18.4,27.0,32.7,6.5-7
17.0,9677,6.6,22.8,19.7,29.4,32.7,6.5-7
35.4,20168,6.6,23.4,18.2,26.8,30.2,6.5-7
22.7,12813,6.6,21.9,21.0,28.1,32.3,6.5-7
32.3,18697,6.6,24.5,17.1,25.4,31.1,6.5-7
74.7,42479,6.6,22.9,17.7,25.2,32.9,6.5-7
19.5,11262,6.5,22.8,17.9,26.2,32.7,6.5-7
23.6,11923,6.6,23.3,19.2,28.0,32.1,6.5-7
21.8,9388,6.2,20.6,18.7,31.2,33.2,6-6.5
28.2,16001,6.6,21.7,18.2,27.0,33.8,6.5-7
22.6,17560,6.6,22.3,20.6,30.0,34.3,6.5-7
66.8,46418,6.6,22.8,20.3,29.5,30.6,6.5-7
23.5,16783,6.1,19.5,18.9,34.6,35.6,6-6.5
160.3,94355,6.3,21.5,12.8,21.7,29.2,6-6.5
17.9,9006,6.6,22.6,21.3,29.7,32.8,6.5-7
14.8,7866,6.5,21.4,20.2,29.8,33.4,6.5-7
29.4,16992,6.6,22.9,19.3,27.5,32.1,6.5-7
93.6,38952,6.5,21.4,20.0,27.5,34.7,6.5-7
45.5,17330,6.6,22.3,16.5,24.7,30.7,6.5-7
160.1,97411,6.5,24.7,16.4,24.7,31.1,6.5-7
23.2,9178,6.5,22.3,18.3,28.8,33.7,6.5-7
26.9,19665,6.5,22.5,19.4,28.8,33.2,6.5-7
31.2,15643,6.5,21.2,20.0,29.1,31.7,6.5-7
17.3,10075,6.4,21.4,17.9,30.2,33.7,6-6.5
13.6,6976,6.6,23.2,19.2,28.0,32.4,6.5-7
15.6,8905,6.5,23.0,19.7,27.8,32.6,6.5-7
24.4,12262,6.6,24.8,16.6,23.9,30.0,6.5-7
18.1,10709,6.6,23.3,18.4,28.4,32.9,6.5-7
25.6,14785,6.6,22.1,17.7,27.4,31.4,6.5-7
18.6,10620,6.5,22.1,17.8,26.6,32.2,6.5-7
29.5,16817,6.5,23.2,19.3,28.2,30.2,6.5-7
20.2,14088,6.5,22.5,18.5,27.7,31.5,6.5-7
46.0,19962,6.5,22.7,19.1,27.9,32.8,6.5-7
19.4,9170,6.6,23.2,19.0,28.1,32.3,6.5-7
22.0,9559,6.6,21.5,18.9,28.3,33.0,6.5-7
15.9,6874,6.6,22.8,19.0,27.5,31.8,6.5-7
27.6,16214,6.5,24.0,18.0,26.4,31.8,6.5-7
