density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
6.4,72068,6.4,14.5,23.9,29.4,39.6,6-6.5
20.4,125866,6.1,16.7,17.6,27.2,34.5,6-6.5
7.8,144552,6.3,17.7,18.1,20.5,32.6,6-6.5
11.4,54198,6.5,18.5,19.8,27.2,39.7,6.5-7
8.4,39011,5.9,17.2,17.4,30.2,36.2,5.5-6
5.2,9493,5.5,17.6,15.2,26.7,35.2,5.5-6
4.7,21195,6.1,15.8,19.5,31.5,39.1,6-6.5
490.5,4512331,6.2,15.9,14.3,24.8,35.0,6-6.5
16.1,213678,6.4,17.8,21.0,31.1,39.3,6-6.5
11.2,111160,6.4,14.0,20.7,28.4,36.8,6-6.5
114.6,1052466,5.9,16.8,14.3,23.4,34.9,5.5-6
87.1,467550,6.1,18.1,17.4,31.2,39.8,6-6.5
37.6,46451,5.0,15.2,14.5,32.1,34.7,5-5.5
29.2,237378,6.3,16.6,17.2,24.4,32.7,6-6.5
38.8,214121,5.6,15.6,15.1,29.7,33.8,5.5-6
17.7,17468,6.4,14.1,23.7,33.6,35.6,6-6.5
21.2,19602,6.3,14.3,24.2,35.7,37.0,6-6.5
76.2,42212,6.7,16.5,22.3,27.9,32.3,6.5-7
331.7,281073,6.3,15.6,16.4,26.5,32.8,6-6.5
63.6,37552,6.8,15.2,22.6,33.6,34.8,6.5-7
16.6,10800,6.1,13.3,22.6,37.3,38.0,6-6.5
8.3,5221,6.4,15.0,23.3,34.4,37.4,6-6.5
45.2,28510,6.4,14.6,20.2,32.6,34.6,6-6.5
15.6,10063,6.0,12.6,25.2,38.9,41.2,6-6.5
25.7,22280,6.5,14.9,20.5,32.2,36.3,6.5-7
22.8,14558,6.7,15.0,25.0,35.3,35.6,6.5-7
45.1,24967,6.6,16.1,24.4,32.2,34.3,6.5-7
13.3,7949,6.6,15.1,23.9,34.9,35.7,6.5-7
30.6,23424,6.3,14.1,24.4,37.0,39.0,6-6.5
37.9,20908,6.5,15.3,23.2,32.4,35.2,6.5-7
156.8,110860,6.6,14.5,21.6,33.1,35.1,6.5-7
107.0,63436,6.6,15.5,22.7,33.4,34.6,6.5-7
78.5,47837,6.2,12.9,23.9,37.8,40.1,6-6.5
26.6,16401,6.4,14.5,24.6,34.8,37.1,6-6.5
10.5,6995,6.2,13.8,23.5,35.8,38.1,6-6.5
14.7,11324,6.1,11.9,26.2,40.5,40.4,6-6.5
22.0,18244,6.4,13.9,21.5,33.6,37.3,6-6.5
195.0,126340,6.6,15.1,20.0,32.5,35.7,6.5-7
29.2,17763,6.6,14.6,26.1,35.3,36.4,6.5-7
20.3,12550,6.8,14.5,26.0,35.4,36.2,6.5-7
147.5,99945,6.6,16.0,21.0,31.8,35.3,6.5-7
29.0,18332,6.7,15.8,21.3,30.4,34.1,6.5-7
78.7,45465,6.6,15.9,23.8,33.5,34.0,6.5-7
29.6,21504,6.2,13.4,22.4,37.9,37.0,6-6.5
55.1,33867,6.5,15.4,22.7,31.8,35.2,6.5-7
22.5,13225,6.3,13.5,21.7,36.8,38.1,6-6.5
49.6,37914,6.5,15.1,22.4,32.8,34.3,6.5-7
23.6,13679,6.6,15.9,24.0,32.1,35.4,6.5-7
26.4,16722,6.5,13.9,26.5,38.7,38.1,6.5-7
76.4,66485,6.0,12.5,24.0,37.2,40.2,6-6.5
40.4,26672,6.4,14.1,24.8,38.1,36.7,6-6.5
12.5,6612,6.2,13.1,26.0,38.6,39.0,6-6.5
27.9,16415,6.7,15.2,24.0,34.0,36.0,6.5-7
14.7,8831,5.9,13.5,25.4,38.5,41.2,5.5-6
23.3,13081,6.3,15.2,24.8,36.0,39.9,6-6.5
23.1,12275,6.5,14.2,22.9,34.8,38.0,6.5-7
30.4,21501,6.6,14.5,23.8,35.2,37.4,6.5-7
95.6,73667,6.6,15.3,21.2,30.1,34.6,6.5-7
20.0,16674,6.7,14.4,24.4,34.5,36.1,6.5-7
28.2,16821,6.6,15.4,22.9,31.6,34.5,6.5-7
69.3,43325,6.5,14.1,22.2,34.2,37.5,6.5-7
44.9,40449,6.3,13.6,25.4,39.3,40.6,6-6.5
11.0,6680,6.3,13.3,25.9,39.3,39.5,6-6.5
11.6,9025,6.7,14.3,25.0,34.5,35.1,6.5-7
13.4,8258,6.3,14.1,23.0,34.5,38.7,6-6.5
